Ticker,DCF Market Cap (B),DDM Market Cap (B),Multiples Market Cap (B),Median Market Cap (B),Current Price,Forecast Price (30d),Forecast Change (%),Current Market Cap (B),Forecast Market Cap (B)
AOS,10.9,2.67,7.6,7.6,70.83000183105469,70.82,-0.01,9.925407744,8.0918932
APA,,5.19,33.58,19.384999999999998,20.010000228881836,19.95,-0.3,7.159297536,7.1378303808000005
APD,196.44,40.16,21.97,40.16,288.739990234375,288.99,0.09,64.26023936,64.31588046
APG,8.4,,5.76,7.08,34.459999084472656,34.46,0.0,14.331500544,14.33150048
APH,25.93,32.68,72.38,32.68,109.9800033569336,110.08,0.09,134.27679232,134.39888064512
APLS,-4.19,,-2.6,-3.3950000000000005,24.3700008392334,24.43,0.25,3.077687296,3.0852647
APO,,17.72,,17.72,141.97000122070312,142.31,0.24,81.210671104,81.40516350848
APP,12.51,,39.34,25.925,455.9800109863281,449.09,-1.51,154.235224064,138.15625124
APPF,,,2.28,2.28,283.3599853515625,287.3,1.39,10.159305728,6.57103941
APTV,69.82,,30.7,50.26,66.9000015258789,67.05,0.22,14.568143872,14.600808
AR,,,5.19,5.19,32.810001373291016,32.79,-0.06,10.136027136,10.12984775232
ARE,,12.87,7.05,9.959999999999999,74.20999908447266,74.09,-0.16,12.66920448,12.64871829728
ARES,2.12,16.82,-0.35,2.12,188.42999267578125,188.69,0.14,61.537087488,40.56344406
ARMK,43.63,1.66,6.45,6.45,39.619998931884766,39.7,0.2,10.4141568,10.4351850176
ARW,7.6,,12.35,9.975,120.88999938964844,121.03,0.12,6.22604032,6.233250751
AS,,,7.66,7.66,37.20000076293945,37.35,0.4,20.630042624,20.713227148799998
ASH,31.44,3.14,1.74,3.14,52.040000915527344,52.08,0.08,2.378540288,2.38036848
ASTS,-3.4,,-2.5,-2.95,46.630001068115234,46.1,-1.14,16.219779072,11.914545
ATI,13.36,,5.9,9.629999999999999,73.04000091552734,72.73,-0.42,10.067249152,10.02452136
ATO,114.01,12.85,12.01,12.85,164.2899932861328,163.62,-0.41,26.372487168,26.26493688
ATR,23.49,6.37,9.63,9.63,140.75,140.66,-0.06,9.272680448,9.26675113
AU,46.44,19.76,32.1,32.1,57.41999816894531,56.9,-0.91,28.982398976,28.7199336
AUR,,,-10.86,-10.86,6.159999847412109,6.12,-0.65,11.367232512,9.21696519168
AVB,50.29,19.16,10.05,19.16,186.77999877929688,186.53,-0.13,26.594297856,26.55870248224
AVT,26.2,5.02,7.59,7.59,51.970001220703125,51.94,-0.06,4.358063616,4.3555479542399995
AVTR,58.5,,10.39,34.445,11.5,11.5,0.0,7.839998464,7.839998592
AVY,23.3,12.62,13.85,13.85,170.80999755859375,170.55,-0.15,13.320037376,13.29976188
AWI,5.44,0.78,3.83,3.83,188.27999877929688,188.13,-0.08,8.144672768,8.138183979
AWK,163.14,15.5,9.11,15.5,145.36000061035156,145.32,-0.03,28.359591936,28.351787842559997
AXON,13.23,,1.06,7.1450000000000005,842.5,839.18,-0.39,66.1399552,65.87932239199999
