Ticker,Beta,Cost of Equity,Cost of Debt,WACC,Growth_Rate,Last_Projected_FCFF,DCF Value (B)
AWI,1.428,0.1105,0.0269,0.1041,0.05,478937977.89,5.44
AWK,0.644,0.0729,0.0288,0.0605,0.03,6881598240.99,163.14
AXON,1.362,0.1074,0.0189,0.1074,0.0,1197561099.46,13.23
AXP,1.283,0.1036,0.0248,0.0906,,,
AXS,0.832,0.0819,0.0344,0.0743,,,
AXTA,1.272,0.1031,0.0275,0.074,0.05,1158255158.77,20.53
AYI,1.644,0.1209,0.0343,0.1161,0.0,197520524.97,1.99
AZEK,1.818,0.1293,0.0289,0.1236,0.05,555773942.23,5.12
AZO,0.378,0.0601,0.0193,0.0557,0.0,4320209681.66,116.55
AZTA,1.587,0.1182,0.0245,0.112,0.0,636674618.3,6.68
BAC,1.315,0.1051,0.0123,0.0614,,,
BALL,1.082,0.0939,0.0261,0.0697,0.0,696908411.21,13.52
BKR,0.923,0.0863,0.0351,0.0793,0.0166,4854011390.62,78.72
CACC,1.134,0.0964,,,0.06,-1148389953.04,
CAG,0.077,0.0457,0.0329,0.0393,0.06,4043151492.23,200.94
CAR,2.183,0.1468,0.0097,0.0416,0.0,14423057480.02,642.6
CARR,1.256,0.1023,0.0247,0.0904,0.0,13465195250.66,184.54
CASY,0.688,0.075,,,0.07,1820435772.31,
CAT,1.397,0.1091,0.0102,0.0931,0.05,16995293627.41,222.23
CAVA,2.672,0.1703,0.2476,0.1704,0.0,213794000.0,1.38
CBOE,0.456,0.0639,0.0265,0.062,0.0,539187903.67,12.37
CBRE,1.347,0.1067,0.0128,0.0989,0.04,3151959434.3,38.24
CBSH,0.606,0.0711,0.8092,0.0722,,,
CC,1.59,0.1183,0.0367,0.0623,0.05,1258320144.69,28.5
CCCS,0.738,0.0774,0.0546,0.0746,0.09,26480168.27,0.46
CCI,0.912,0.0858,0.0185,0.0607,0.0,4771000000.0,112.93
CCK,0.739,0.0775,0.0309,0.061,0.0107,1923658997.56,45.14
CCL,2.707,0.1719,0.0365,0.1078,0.07,15657274583.0,169.58
CDW,0.94,0.0871,0.0162,0.0689,0.0,1002113013.79,19.75
CE,1.104,0.095,0.0171,0.0604,0.05,3645361125.0,86.45
CEG,1.142,0.0968,0.0286,0.0919,0.03,7254721986.74,96.8
CELH,1.395,0.109,0.6184,0.1091,0.0,115737141.1,1.25
CERT,1.424,0.1104,0.0431,0.1004,0.08,167886937.36,1.98
CF,0.923,0.0863,0.0372,0.0755,0.0,3428249148.69,59.55
CFLT,0.959,0.088,,,0.0576,-438250420.55,
CG,1.888,0.1326,0.0271,0.1035,,,
CHE,0.46,0.0641,0.0046,0.0612,0.08,591723336.49,13.72
CHH,0.968,0.0885,0.0333,0.0794,0.0,58505171.57,0.95
CHTR,1.022,0.0911,0.0347,0.0503,0.0632,36588163095.42,1156.66
CL,0.353,0.0589,0.0118,0.0541,0.06,6530641191.6,183.42
CMA,0.964,0.0883,0.0161,0.0706,,,
CMCSA,0.922,0.0863,0.0338,0.0621,0.08,58337862386.9,1323.37
CMG,1.049,0.0924,,,0.07,2966924649.49,
CMI,1.007,0.0903,0.019,0.0846,0.0,3856032225.17,57.58
CNC,0.4,0.0612,0.0232,0.0368,0.08,5862478599.17,334.52
CNM,1.042,0.092,0.0477,0.0869,0.05,705928552.64,10.09
CNP,0.572,0.0695,0.026,0.0526,0.0,6449354200.99,190.5
CNXC,0.583,0.07,0.0227,0.0599,0.09,1791317796.97,42.85
COIN,3.712,0.2202,0.0066,0.2112,,,
COLB,0.695,0.0754,0.0694,0.0749,,,
COLD,0.822,0.0815,0.0229,0.055,0.0273,884359456.39,24.27
COLM,0.992,0.0896,,,0.0663,599542109.73,
COO,1.001,0.09,0.0123,0.0826,0.0426,1222721165.74,18.71
COOP,0.978,0.0889,0.0544,0.075,0.0,3325107658.16,58.29
COP,0.677,0.0745,0.0446,0.0702,0.0,31162858616.15,598.33
COR,0.579,0.0698,0.0206,0.0645,0.0126,4700000610.83,101.61
COST,0.952,0.0877,0.0133,0.086,0.06,20823549493.71,301.24
COTY,1.991,0.1376,0.0316,0.0757,0.0,931597603.91,16.13
CPAY,0.961,0.0881,0.015,0.0721,0.09,2705542254.34,49.46
CPNG,1.159,0.0976,0.0168,0.0944,0.0401,1172291875.28,15.09
CPRT,1.044,0.0921,0.0309,0.0914,0.0,930524754.07,12.57
CR,1.359,0.1072,0.0041,0.0992,0.0,133407119.65,1.63
CRH,1.195,0.0994,0.0205,0.0882,0.05,12958370510.05,181.68
CRI,0.987,0.0894,0.0304,0.0523,0.0,298461524.01,8.9
CRL,1.481,0.1131,0.02,0.0866,0.0,859465324.54,12.45
CROX,1.408,0.1096,0.0177,0.0925,0.07,1520823507.14,19.98
CRWD,1.132,0.0963,0.0257,0.0958,0.0,-64490000.0,-0.82
CSGP,0.851,0.0828,,,0.04,1586398804.49,
CSX,1.247,0.1019,0.0339,0.0881,0.0353,9862159634.14,138.82
CTRA,0.306,0.0567,0.0141,0.0499,0.0,2936171747.21,94.55
CTVA,0.746,0.0778,0.0212,0.0765,0.05,5073528081.18,85.93
CUBE,0.956,0.0879,0.0193,0.0697,,,
CUZ,1.329,0.1058,0.0231,0.0778,0.0116,901956493.92,15.02
CVNA,3.58,0.2138,0.0241,0.1902,0.0,-360000000.0,-2.05
CVS,0.588,0.0702,0.026,0.0491,0.08,24334385750.26,800.15
CVX,0.841,0.0824,0.0179,0.0765,0.04,57781690511.69,980.07
CW,1.179,0.0986,0.0266,0.0941,0.05,864503859.2,11.15
CXT,1.192,0.0992,0.0484,0.0884,0.05,681714982.74,9.53
DAL,1.559,0.1168,0.0291,0.0732,0.0,12779273293.26,231.56
DAR,1.198,0.0995,0.0302,0.0821,0.06,1881580177.98,28.94
DAY,1.109,0.0952,0.0241,0.0863,0.09,415849310.92,5.96
DDOG,1.021,0.091,0.0206,0.0898,0.09,-872817383.61,-11.88
DE,1.067,0.0932,0.0161,0.0731,0.0,11946810558.33,216.89
DECK,0.991,0.0896,0.0074,0.0884,0.07,862127317.45,12.01
DELL,1.095,0.0946,0.0452,0.0835,0.09,12117360595.17,181.43
DGX,0.459,0.064,0.0252,0.0565,0.0158,2395370365.8,63.1
DHI,1.343,0.1065,,,0.07,1435220748.67,
DHR,0.761,0.0785,0.0078,0.0686,0.08,13591171320.06,266.83
DIS,1.565,0.1171,0.0193,0.0954,0.08,38384687514.18,483.93
DKS,1.095,0.0946,0.0101,0.0768,0.069,2660606707.36,44.71
DLR,0.941,0.0872,0.0155,0.0727,,,
DOX,0.522,0.0671,0.0191,0.0632,0.078,1496244093.5,33.08
DRI,0.746,0.0778,0.0114,0.0664,0.0259,2590928759.47,53.63
DVA,1.088,0.0942,0.0188,0.0517,0.0,2599945971.46,78.97
DVN,1.109,0.0952,0.0455,0.0832,,,
DXCM,1.439,0.1111,0.0069,0.1043,0.0,2564616361.07,29.37
EA,0.717,0.0764,0.0234,0.074,0.08,3802369641.51,67.13
ECL,1.069,0.0933,0.0199,0.0855,0.05,4818351134.13,70.35
ED,0.227,0.0529,0.0286,0.0431,0.03,9939062490.88,413.29
EFX,1.641,0.1208,0.0217,0.1057,0.05,2038734707.79,22.72
EHC,0.736,0.0773,0.0373,0.0682,0.08,2233314533.6,44.21
EIX,0.757,0.0783,0.0247,0.0468,0.03,12064942826.04,432.38
EL,1.176,0.0984,0.0169,0.0822,0.0,3251066062.18,50.41
ELAN,1.664,0.1219,0.0295,0.0819,0.08,1590825234.1,24.48
ELS,0.709,0.076,0.0262,0.0655,0.04,1055027943.42,22.23
ELV,0.588,0.0702,0.0274,0.0592,,,
EME,1.272,0.1031,0.0089,0.1013,0.05,1024830397.78,12.04
EMR,1.311,0.1049,0.0184,0.0974,0.0,8563282178.22,106.78
ENOV,1.808,0.1288,0.0106,0.0613,0.08,342068495.04,7.91
ENPH,1.589,0.1183,0.0342,0.1017,0.0,436341659.29,5.16
ENTG,1.221,0.1006,0.0327,0.095,0.09,1894484055.43,23.97
EOG,0.817,0.0812,0.0238,0.0763,,,
EPAM,1.667,0.122,0.0057,0.1189,0.09,1844155388.23,17.63
EPR,1.338,0.1062,0.0367,0.0767,,,
EQH,1.13,0.0962,0.0376,0.0818,,,
EQIX,0.888,0.0846,0.0177,0.0736,0.04,5330541288.1,95.32
EQR,0.935,0.0869,0.0249,0.0709,0.04,2581770278.12,48.62
EQT,0.593,0.0705,0.0407,0.066,0.0,5392843306.23,112.97
ESAB,1.236,0.1013,0.2744,0.1041,0.0,341980854.39,3.93
ESI,1.257,0.1023,0.0222,0.0823,0.05,525733844.62,8.07
ESS,0.81,0.0809,0.0252,0.0661,0.04,1824834549.86,37.95
ESTC,1.071,0.0934,0.0275,0.0888,0.09,-389780418.48,-5.38
ETR,0.55,0.0684,0.0243,0.0507,0.0167,9900707289.69,310.06
ETSY,1.738,0.1254,0.0033,0.0908,0.07,771007702.97,10.38
EW,1.081,0.0939,0.0211,0.0928,0.0,-167619036.24,-2.22
FANG,1.066,0.0932,0.022,0.0831,0.04,23301341584.18,353.77
FIX,1.491,0.1136,0.0076,0.1114,0.05,953814584.92,9.96
FTI,1.04,0.0919,0.0439,0.084,0.04,1903248716.06,28.49
GLW,1.065,0.0931,0.0303,0.0854,0.0,2961469864.7,43.68
GOOG,1.014,0.0907,0.0096,0.0898,0.08,222826215092.93,3036.94
GOOGL,1.014,0.0907,0.0096,0.0898,0.08,222826215092.93,3036.94
GWW,1.173,0.0983,0.0249,0.0941,0.05,3263108780.43,42.09
H,1.462,0.1122,0.0295,0.0914,0.0,-23063339.73,-0.31
HBAN,0.958,0.088,0.0099,0.0699,,,
HHH,1.219,0.1005,0.022,0.0593,0.0,1097833408.27,26.91
HII,0.319,0.0573,0.0201,0.0479,0.0,719707620.53,24.83
HOOD,2.37,0.1558,0.0011,0.1504,0.0,429000000.0,3.18
HPQ,1.309,0.1048,0.0229,0.0832,0.09,8280583673.14,124.58
HUBB,0.979,0.089,0.0282,0.0851,0.05,1472452202.15,21.63
HUBS,1.665,0.1219,0.0336,0.1193,0.0,84696060.89,0.82
