Ticker,Beta,Cost of Equity,Cost of Debt,WACC,Growth_Rate,Last_Projected_FCFF,DCF Value (B)
PANW,0.943,0.0873,0.0353,0.0857,0.0,267500000.0,3.93
PATH,1.026,0.0912,,,0.0,207839306.2,
PAYC,0.817,0.0812,0.0,0.081,0.09,925466035.51,14.43
PAYX,0.906,0.0855,0.0328,0.0846,0.09,2674261881.89,39.35
PCAR,0.917,0.086,,,0.05,5111775234.42,
PCTY,0.548,0.0683,,,0.09,516674993.2,
PEG,0.468,0.0645,0.0201,0.0508,0.03,8336951964.55,259.95
PEGA,1.104,0.095,0.0092,0.0888,0.0,359290276.32,5.04
PEN,0.402,0.0613,0.0088,0.0603,0.0,74255080.07,1.78
PENN,1.599,0.1188,0.0383,0.0525,0.0,1552242455.32,45.99
PEP,0.457,0.0639,0.0361,0.0592,0.0461,23530877969.88,575.4
PFGC,1.2,0.0996,0.0401,0.0898,0.0,1679098793.57,23.21
PH,1.369,0.1077,0.03,0.1026,0.0,3958266253.69,46.26
PHM,1.234,0.1012,0.0001,0.0908,0.07,2366433866.7,31.84
PK,1.798,0.1283,0.0416,0.067,0.04,1013502464.0,20.67
PKG,0.871,0.0838,0.0441,0.0785,0.0,1839692521.61,30.32
PLTR,2.597,0.1667,0.0429,0.1666,0.09,-1559906830.83,-10.0
PNR,1.071,0.0934,0.0101,0.0888,0.05,1212670978.55,16.85
PODD,1.348,0.1067,0.0383,0.1029,0.0,292500000.0,3.41
PR,1.312,0.105,0.0574,0.1015,,,
PRGO,0.467,0.0644,0.0267,0.0439,0.0,565000000.0,22.75
PSA,0.848,0.0827,0.0096,0.0731,0.0362,4069798780.8,73.5
PSN,0.58,0.0698,0.0175,0.0652,0.09,887416463.19,18.72
PSTG,1.072,0.0935,0.0316,0.0907,0.0,588051749.55,8.03
PVH,1.841,0.1304,0.0217,0.0728,0.0009,805670033.56,14.71
PWR,1.102,0.0949,0.0136,0.0896,0.05,3455023011.81,47.46
PYPL,1.422,0.1103,0.0228,0.1006,0.06,9035924602.09,106.89
QCOM,1.228,0.1009,0.028,0.0943,0.0,10706794311.15,139.06
QDEL,-0.034,0.0404,0.0017,0.0373,0.0,949191766.36,52.79
QGEN,0.644,0.0729,0.0219,0.0648,0.08,207200705.62,4.42
QRVO,1.355,0.107,0.0244,0.0904,0.0,509426603.59,6.98
QS,4.436,0.2549,0.0145,0.2512,0.0,-117971530.0,-0.5
QXO,2.301,0.1524,0.0162,0.1524,0.0,-5082062299.69,-37.14
R,0.985,0.0893,0.0244,0.0576,0.0,4750354009.08,121.69
RAL,,,,,,,
RARE,0.245,0.0538,0.5538,0.0616,0.08,-631949641.34,-14.51
RBA,0.74,0.0775,0.0157,0.0725,0.05,1798511263.29,32.79
RBC,1.716,0.1244,0.0184,0.1112,0.0,424061109.33,4.49
RBLX,1.637,0.1206,0.0043,0.119,0.0,-497639000.0,-4.86
RBRK,,,0.0,,0.09,-1701147504.34,
RCL,2.229,0.149,0.047,0.1276,0.07,10555362501.76,93.09
RDDT,,,,,0.08,-1560608571.5,
REG,1.058,0.0928,0.0267,0.0765,,,
REGN,0.327,0.0577,0.0168,0.0559,0.08,8046718008.08,214.25
REXR,1.116,0.0956,0.0227,0.0858,0.04,979917545.78,14.27
REYN,0.569,0.0693,0.016,0.0527,0.07,831176735.95,24.33
RF,1.022,0.0911,0.0548,0.0876,,,
RGA,0.595,0.0706,0.0285,0.0606,,,
RGEN,1.052,0.0925,0.0243,0.0887,0.0,96490000.85,1.36
RGLD,0.647,0.0731,0.0089,0.07,,,
RH,2.161,0.1457,0.0149,0.0855,0.0,508920369.25,7.49
RHI,1.005,0.0902,,,0.0,533839060.73,
RITM,1.261,0.1025,0.0131,0.0291,,,
RIVN,1.807,0.1287,0.0143,0.1171,0.0,-1023000000.0,-10.18
RJF,1.061,0.0929,0.0409,0.0887,,,
RKT,2.294,0.1521,0.0398,0.1278,,,
RL,1.543,0.1161,0.0126,0.0993,0.07,1771083657.21,21.26
RLI,0.611,0.0713,0.0304,0.07,,,
RMD,0.772,0.0791,0.0239,0.0781,0.08,2028850698.62,33.27
RNG,1.29,0.1039,0.0351,0.0793,0.09,520766126.68,8.36
RNR,0.29,0.0559,0.0321,0.0537,,,
ROIV,1.149,0.0972,0.0078,0.0941,0.08,654301971.07,8.4
ROK,1.388,0.1086,0.017,0.099,0.05,3283759635.59,39.71
ROKU,2.05,0.1404,0.0045,0.1349,0.0,-77941000.0,-0.66
ROL,0.687,0.075,0.0016,0.074,0.07,808082387.07,14.29
ROP,0.996,0.0898,0.0232,0.0817,0.09,4278920802.37,65.95
ROST,1.121,0.0958,0.0106,0.0868,0.07,4242316831.38,60.53
RPM,1.028,0.0913,0.0235,0.0804,0.05,1081062088.09,17.12
RPRX,0.543,0.0681,0.0185,0.056,,,
RRC,0.6,0.0708,0.0609,0.0682,,,
RRX,1.161,0.0977,0.0234,0.0843,0.05,1918531912.5,28.54
RS,0.881,0.0843,0.0627,0.0819,0.05,3280636841.31,50.7
RSG,0.607,0.0711,0.0253,0.0657,0.05,7204646738.48,150.99
RTX,0.672,0.0743,0.0317,0.0684,0.0195,15802394441.41,313.84
RVMD,1.159,0.0976,0.0008,0.0966,0.08,-1379152683.95,-17.11
RVTY,0.916,0.086,0.0156,0.0622,0.08,855472701.53,19.36
RYAN,0.639,0.0727,0.0372,0.0692,,,
RYN,1.031,0.0915,0.0243,0.0738,,,
SARO,,,0.0482,,,,
SBUX,1.004,0.0902,0.0157,0.0765,0.0,8417374686.09,143.64
SCCO,1.001,0.09,0.0378,0.0856,,,
SCHW,0.955,0.0878,0.0158,0.0793,,,
SF,1.109,0.0952,0.031,0.0892,,,
SFD,,,0.0298,,,,
SGI,1.261,0.1025,0.0183,0.0895,0.0,822895300.42,11.42
SHC,1.813,0.129,0.0321,0.0984,0.08,567251498.84,6.88
SJM,0.292,0.056,0.0276,0.048,0.06,1503062192.0,51.44
SMCI,1.456,0.1119,0.0165,0.1115,0.0,-3468545579.96,-36.61
SMMT,-1.06,-0.0089,0.0687,-0.0089,0.08,-492551284.51,16.46
SNA,0.743,0.0777,0.0334,0.0746,0.05,1055256527.29,18.5
SNOW,1.22,0.1006,0.0,0.1003,0.09,-1888081055.41,-22.3
SNPS,1.153,0.0973,0.004,0.0968,0.0,-1689736838.98,-21.23
SNV,1.227,0.1009,0.079,0.0975,,,
SNX,1.223,0.1007,0.0301,0.0827,0.09,1077226067.29,16.34
SO,0.358,0.0592,0.0262,0.0477,0.03,24305756114.86,842.75
SOFI,1.938,0.135,0.0194,0.1192,,,
SOLV,,,0.0,,0.0021,2011402766.69,
SON,0.674,0.0744,0.0274,0.0607,,,
SPB,0.839,0.0823,0.0361,0.0522,0.06,1794778701.85,53.39
SPGI,1.188,0.099,0.02,0.0969,0.0,5548457045.97,69.64
SPOT,1.699,0.1236,0.0177,0.1223,0.08,-1842496479.79,-17.06
SPR,1.704,0.1238,0.0494,0.0901,0.0,34601158.01,0.48
SSB,0.777,0.0793,0.1288,0.0809,,,
SSNC,1.251,0.102,0.0261,0.0848,0.0,1852364283.32,27.57
STAG,0.907,0.0855,0.0223,0.0694,0.04,678613387.01,13.17
STE,0.922,0.0863,0.0216,0.0785,,,
STLD,1.391,0.1088,0.0146,0.0951,0.05,5984226080.87,76.15
STT,1.5,0.114,0.0002,0.0797,,,
STWD,1.302,0.1045,0.047,0.0758,,,
STZ,0.669,0.0741,0.0257,0.0612,0.06,4561777987.59,105.97
SUI,0.832,0.0819,0.023,0.0669,,,
SW,1.029,0.0914,0.0269,0.0813,,,
SWK,1.152,0.0973,0.0218,0.0682,0.05,2081872800.0,41.36
SWKS,1.13,0.0962,0.0044,0.0791,0.0,857314204.9,13.99
SYF,1.481,0.1131,0.0562,0.0926,,,
SYK,0.914,0.0859,,,0.0,3170237686.14,
SYY,0.846,0.0826,0.0588,0.077,0.0,4535510721.25,76.72
T,0.622,0.0719,0.0271,0.0498,0.0,59580202179.9,1924.96
TDC,0.833,0.082,0.0359,0.0715,0.09,421247664.84,7.79
TDY,1.072,0.0935,0.0175,0.083,0.09,1084381714.78,16.37
TEAM,0.967,0.0884,0.1208,0.0888,0.0,237409000.0,3.33
TEM,,,0.0502,,0.0,-890545000.0,
TER,1.717,0.1244,0.0763,0.1239,0.0646,1359204859.29,12.43
TFSL,0.764,0.0787,0.0398,0.0605,,,
TFX,1.08,0.0938,0.0229,0.0744,0.08,1117655792.99,19.59
TGT,1.215,0.1003,0.0202,0.0798,0.0,9739170689.98,157.05
THC,1.523,0.1151,0.0466,0.0797,0.0,3042896341.46,49.15
TLN,1.594,0.1185,0.0605,0.1059,,,
TMO,0.748,0.0779,0.0121,0.0669,0.08,16724582389.63,340.33
TMUS,0.613,0.0714,0.0243,0.0581,0.0124,40437019267.22,1020.94
TPL,1.145,0.097,,,,,
TPR,1.531,0.1155,0.0164,0.1025,0.0,-4757819033.5,-55.68
TRGP,1.129,0.0962,0.0462,0.0883,0.04,7715927585.58,108.2
TSLA,2.331,0.1539,0.033,0.1529,0.0,14213335928.81,103.48
TTEK,0.917,0.086,0.0222,0.0831,0.05,346198660.2,5.25
TTWO,0.988,0.0894,0.0774,0.0893,0.0,1427441404.49,19.87
TXG,2.028,0.1393,0.0083,0.1326,0.0,-135352000.0,-1.16
TXN,1.022,0.0911,0.0179,0.0878,0.0,11519432605.91,163.91
TXRH,0.876,0.084,0.0043,0.0791,0.011,923594142.43,15.04
TXT,1.167,0.098,0.0298,0.0833,0.0296,2361641871.28,35.8
U,2.323,0.1535,0.0005,0.137,0.0,-205614522.34,-1.7
UA,1.611,0.1193,0.0253,0.0822,,,
UAA,1.611,0.1193,0.0253,0.0822,,,
UAL,1.485,0.1133,0.0316,0.0662,0.05,15272244442.66,316.58
UBER,1.426,0.1104,0.0344,0.1061,0.09,6283480708.0,69.14
UDR,0.838,0.0822,0.0263,0.0665,0.0,1105674108.74,22.91
UGI,1.07,0.0934,0.0359,0.0661,0.03,2540914879.19,52.91
UHS,1.239,0.1015,0.0145,0.0762,0.08,3812704257.43,64.66
UI,1.355,0.107,0.0222,0.1054,0.0,627256969.18,7.09
ULTA,1.121,0.0958,,,0.07,2168996161.77,
UNH,0.44,0.0631,0.0285,0.0573,0.0,29489880673.61,761.51
UNM,0.399,0.0612,0.0425,0.057,,,
UNP,1.054,0.0926,0.029,0.0803,0.0287,14779847477.94,235.26
UPS,1.097,0.0947,0.0215,0.0758,0.0,12965142166.08,224.02
URI,1.725,0.1248,0.0319,0.11,0.05,10987972856.41,116.56
USFD,1.437,0.111,0.0307,0.0923,0.06,2239901624.79,29.56
UTHR,0.57,0.0694,0.0184,0.0666,0.0,1054312222.22,21.8
UWMC,1.74,0.1255,0.1061,0.1219,,,
V,0.94,0.0871,0.0193,0.085,0.06,29856862536.29,438.6
VEEV,0.957,0.0879,,,,,
VFC,1.707,0.1239,0.0159,0.0596,0.0,255052714.86,6.2
VICI,0.709,0.076,0.0621,0.0743,0.0,3341828617.82,59.33
VIK,,,0.0645,,0.021,2276669805.22,
VIRT,0.681,0.0747,0.0482,0.0671,0.06,826313107.48,16.78
VKTX,0.666,0.074,,,,,
VLO,1.002,0.0901,0.0315,0.0744,0.0,7910333693.89,140.18
VLTO,,,0.0,,0.05,839947543.51,
VMC,0.832,0.0819,0.0261,0.0759,0.05,3427699654.74,58.68
VMI,1.13,0.0962,0.0302,0.0874,0.05,879725431.1,12.48
VNO,1.552,0.1165,0.0185,0.0637,,,
VNOM,,,0.0346,,,,
VNT,1.32,0.1054,0.0143,0.0774,0.0,581829823.15,9.77
VOYA,0.984,0.0892,0.0509,0.0763,,,
VRSK,0.833,0.082,0.028,0.0772,0.0,1866077331.92,31.46
VRSN,0.777,0.0793,0.0368,0.0765,0.09,2001738871.33,33.72
VRT,1.776,0.1272,0.0229,0.1214,0.05,1212742348.47,11.41
VRTX,0.444,0.0633,0.0502,0.0632,0.08,6623061811.2,146.39
VST,1.313,0.105,0.0326,0.095,0.03,11086808772.36,141.81
VSTS,,,0.0009,,0.05,713385616.18,
VTR,0.893,0.0849,0.0284,0.069,0.04,2483172150.78,48.58
VTRS,0.897,0.0851,0.0215,0.0422,0.08,6423271488.0,277.14
VVV,1.17,0.0982,0.0391,0.0819,0.07,1568546482.67,24.17
VZ,0.362,0.0594,0.0155,0.0377,0.0,66127763305.63,3594.64
W,2.927,0.1825,0.0062,0.1293,0.07,540243963.0,4.69
WAB,1.108,0.0952,0.0345,0.0885,0.05,1773007776.86,24.75
WAL,1.323,0.1055,0.047,0.0953,,,
WAT,1.046,0.0922,0.0222,0.0861,0.0458,1288220638.56,18.65
WBA,0.768,0.0789,0.0214,0.035,0.0,1837000000.0,117.81
WBD,1.576,0.1176,0.0339,0.088,0.0,22567000000.0,320.16
WBS,1.022,0.0911,0.0575,0.0892,,,
WCC,1.843,0.1305,0.0413,0.1002,0.05,1920511779.91,22.88
WDAY,1.238,0.1014,0.0064,0.0981,0.0,896401253.92,11.08
WDC,1.642,0.1208,0.0295,0.098,0.0,1744000000.0,21.58
WEC,0.406,0.0615,0.0239,0.05,0.03,6159030168.57,197.17
WELL,0.915,0.0859,0.0264,0.079,0.04,989658237.73,16.07
WEN,0.312,0.057,0.0224,0.034,0.0,646633049.08,44.43
WEX,1.278,0.1033,0.0247,0.0773,0.0414,1366732685.32,22.85
WFC,1.196,0.0994,0.0178,0.0659,,,
WFRD,1.834,0.13,0.0785,0.1096,0.04,1252092359.19,13.37
WH,1.0,0.09,0.0356,0.0766,0.0,471211956.52,8.03
WHR,1.135,0.0965,0.0229,0.0551,0.002,3011400521.05,82.61
WING,1.808,0.1288,0.0251,0.1235,0.0,-41855931.88,-0.39
WLK,0.917,0.086,0.0246,0.064,0.0,2612313432.84,57.21
WM,0.644,0.0729,0.0215,0.0665,0.05,10486373513.41,215.97
WMB,0.686,0.0749,0.0393,0.066,0.04,9959928596.06,207.61
WMS,1.268,0.1029,0.0276,0.0964,0.05,964561893.56,12.06
WMT,0.664,0.0739,0.0275,0.0709,0.06,72448754599.98,1360.93
WOLF,1.246,0.1018,0.0427,0.0554,0.0,2733200000.0,74.36
WPC,0.795,0.0802,0.0229,0.0619,,,
WRB,0.397,0.0611,0.0356,0.0583,,,
WSC,1.198,0.0995,0.0317,0.0727,0.0,1168858197.33,21.38
WSM,1.473,0.1127,0.01,0.1076,0.07,1876026600.11,20.37
WSO,0.947,0.0875,0.0026,0.0857,0.0,249803019.03,3.67
WST,1.049,0.0924,0.0199,0.0911,0.08,1627180747.98,21.77
WTFC,0.838,0.0822,0.0492,0.0748,,,
WTM,0.366,0.0596,0.0385,0.0578,,,
WTRG,0.762,0.0786,0.0272,0.0603,0.03,2884554509.15,68.72
WTW,0.679,0.0746,0.0304,0.0681,0.0,-1003000000.0,-20.1
WU,0.636,0.0725,0.026,0.0468,0.0,-13400000.0,-0.48
WWD,1.295,0.1042,0.0361,0.1009,0.05,690510170.17,8.15
WY,1.088,0.0942,0.0483,0.0842,,,
WYNN,1.407,0.1095,0.0397,0.0731,0.07,3785229990.62,68.06
XRAY,0.955,0.0878,0.021,0.0564,0.08,1389182400.0,36.48
