ticker,forecast_id,forecast_price_30d,forecast_market_cap_b,forecast_change_%
KRC,150,37.7,4.4596838,-0.29
KSS,151,11.13,1.24702746,0.09
KVUE,152,21.37,41.010524874240005,0.14
LDOS,153,176.78,22.68034366,0.16
LEA,154,95.85,5.099804685,-0.04
LEG,155,8.59,1.16266515872,-0.12
LEN,156,120.62,27.45335324,-0.19
LH,157,265.2,22.03812,-0.24
LHX,158,269.86,50.489458858880006,0.05
LNG,159,232.02,50.99057136,0.52
LNT,160,65.66,16.86647816,0.03
LRCX,161,101.43,128.68829495424,-0.31
LSTR,162,127.57,4.420746995,0.39
LUV,163,29.61,15.55081668,-0.03
LVS,164,52.62,36.12121032192,-0.02
LW,165,51.8,7.218589414399999,0.48
LYB,166,49.3,15.8572464,0.49
M,167,12.08,3.2802032,0.0
MMM,168,153.09,81.54032914944,-0.14
MO,169,64.04,107.58015867392,-0.23
MORN,170,259.23,10.933725171,0.12
MSA,171,174.27,6.821485464,0.05
MSCI,172,548.07,42.401545164000005,0.25
MSI,173,452.99,75.46994596,-0.09
MSM,174,86.04,4.790345832,-0.07
MTN,175,148.74,5.526047976,0.01
MUSA,176,376.64,7.266289536,-0.33
NDAQ,177,96.87,55.58352242496,0.02
NDSN,178,211.16,11.932419324,0.06
NEE,179,72.43,149.15437354112004,0.03
NEM,180,68.74,75.50745629951999,-0.35
NEU,181,735.49,6.9111200438,-0.36
NFE,182,2.73,0.74856058368,0.37
NI,183,42.32,19.92658393856,0.09
NOC,184,581.77,83.29957856416,0.11
NOV,185,11.92,4.42667070464,0.17
NRG,186,151.86,29.37443287488,-0.45
NSA,187,29.73,2.28222345,-0.1
NSC,188,280.0,62.81912,-0.01
NTAP,189,106.28,21.266522570240003,0.07
NUE,190,139.02,32.079005132160006,0.03
NVDA,191,182.17,4442.689161953279,-0.29
NVT,192,88.83,14.29692272064,0.17
NWL,193,4.87,2.041017,-0.2
NWS,194,32.99,6.21901088,0.12
NWSA,195,28.59,10.76150472,0.25
NXST,196,186.74,5.6610231,-0.03
NYT,197,57.51,9.31880538,0.03
OC,198,143.94,12.037356744,0.04
ODFL,199,144.46,30.36086928,-0.0
OGE,200,45.36,9.13527756288,-0.02
OGN,201,9.24,2.40208584,0.22
OKE,202,74.46,46.891634142719994,0.0
OLN,203,18.92,2.16902664,-0.0
OMC,204,72.79,14.10109775232,-0.21
ORCL,205,250.39,703.3029316812799,0.14
PAG,206,174.32,11.512859808,-0.29
PAYC,207,229.82,12.928891812,-0.01
PAYX,208,141.03,50.80521132,-0.11
PEG,209,87.75,43.79427,0.08
PEGA,210,51.24,8.76619003008,0.04
PEP,211,144.81,198.25648406784,-0.28
PH,212,727.29,92.93166162,-0.06
PHM,213,121.52,23.97565296,-0.1
PK,214,10.19,2.03712366,0.2
PKG,215,196.54,17.684433352,0.06
PNR,216,102.73,16.84063245184,0.01
PRGO,217,22.63,3.11350347104,0.35
PSA,218,281.72,49.42861690624,-0.01
PVH,219,73.12,3.515105072,0.3
PWR,220,386.79,57.63403074,0.17
QCOM,221,147.4,159.04460943360002,-0.11
QGEN,222,48.12,10.43405208,0.17
R,223,177.55,7.24237103,-0.08
RBA,224,113.83,21.12673508064,-0.25
