ticker,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,forecast_price_30d,current_price,forecast_change_%,current_market_cap_B,forecast_market_cap_B
CBOE,1.106,0.2114,0.2184,0.97,252.1,252.5800018310547,-0.19,26.417342464,26.367139
CDW,-0.1374,0.0037,0.2845,0.01,163.39,162.9199981689453,0.29,21.35245824,21.41405679
CE,-0.6827,-0.1951,0.4262,-0.46,47.98,48.04999923706055,-0.15,5.25700608,5.24934786
COR,1.5362,0.2543,0.1992,1.28,285.48,285.1300048828125,0.12,55.2804352,55.34829144
CNP,0.6106,0.141,0.2048,0.69,38.83,38.83000183105469,-0.0,25.350750208,25.35074888192
CF,0.7959,0.2173,0.3735,0.58,81.68,80.91000366210938,0.95,13.105234944,13.229953986560002
CHE,-0.0332,0.0214,0.2429,0.09,434.09,435.3299865722656,-0.28,6.343497728,6.325429253
CC,-0.5899,-0.0762,0.5421,-0.14,12.13,12.1899995803833,-0.49,1.82481856,1.81583674
LNG,1.7262,0.3017,0.3131,0.96,232.02,230.8300018310547,0.52,50.729046016,50.99057136
CVX,0.7796,0.1783,0.2569,0.69,155.19,155.00999450683594,0.12,312.317247488,312.67991083391996
CHH,0.0691,0.0556,0.2783,0.2,121.25,120.75,0.41,5.586909184,5.6100435
CL,0.1814,0.0583,0.1804,0.32,84.62,84.69000244140625,-0.08,68.448239616,68.39166034304
CMCSA,-0.3977,-0.0919,0.2661,-0.35,31.76,31.670000076293945,0.28,116.932288512,116.96445556736
FIX,8.14,0.6518,0.4333,1.5,692.08,691.760009765625,0.05,24.406331392,24.41762052
CAG,-0.3135,-0.0698,0.2224,-0.31,19.2,19.25,-0.26,9.214860288,9.190925107199998
COP,0.8902,0.2161,0.3334,0.65,93.92,93.91000366210938,0.01,117.287960576,117.30044780544
ED,0.5587,0.1303,0.1927,0.68,104.46,104.4800033569336,-0.02,37.680922624,37.67370792
STZ,-0.1415,-0.0103,0.2347,-0.04,170.75,170.60000610351562,0.09,30.080362496,30.0974195
CEG,7.2487,0.719,0.4969,1.45,334.52,335.7650146484375,-0.37,104.895012864,104.50606047232
GLW,0.8342,0.1939,0.288,0.67,65.94,65.7699966430664,0.26,56.339828736,56.48545738751999
CTVA,0.6046,0.1564,0.2746,0.57,70.86,70.91000366210938,-0.07,48.154984448,48.12102826752
COST,1.3108,0.2391,0.2368,1.01,982.5,980.97998046875,0.15,435.04205824,435.71614464
CTRA,0.8654,0.2185,0.3504,0.62,24.02,24.020000457763672,-0.0,18.330621952,18.33062203136
CUZ,-0.1784,-0.0058,0.2959,-0.02,26.7,26.700000762939453,-0.0,4.485412864,4.4847456
CR,1.7329,0.4816,0.329,1.46,194.05,193.9600067138672,0.05,11.161778176,11.16695654
CXT,0.7724,0.1923,0.3109,0.62,60.23,60.59000015258789,-0.59,3.478968832,3.458298186
CRH,1.3238,0.2602,0.3101,0.84,108.76,109.3000030517578,-0.49,73.4783488,73.11532126976002
CCI,-0.3441,-0.0704,0.2677,-0.26,104.51,104.5,0.01,45.506617344,45.51097137216
CCK,-0.021,0.0393,0.2972,0.13,101.28,101.4800033569336,-0.2,11.809837056,11.78656128
CSX,0.0954,0.0506,0.2356,0.21,35.43,35.43000030517578,-0.0,66.051444736,66.05144266751999
CMI,0.7909,0.1821,0.2665,0.68,386.24,387.0299987792969,-0.2,53.327314944,53.21846464
CW,2.9676,0.3825,0.2656,1.44,477.51,472.4299926757813,1.08,17.80026368,17.991669531
CVS,-0.1193,0.0134,0.3003,0.04,65.49,65.54000091552734,-0.08,83.126345728,83.06293065215999
DHR,-0.2666,-0.0383,0.2821,-0.14,200.35,200.55999755859375,-0.1,143.611379712,143.4610117888
DRI,0.6257,0.1593,0.2727,0.58,202.47,202.0,0.23,23.552190464,23.60698965
DE,0.3959,0.1269,0.2926,0.43,510.14,510.3699951171875,-0.05,138.2219776,138.15968986112
DAL,0.3563,0.1603,0.4109,0.39,53.72,53.63999938964844,0.15,35.024130048,35.07636484096
DELL,1.9362,0.3783,0.4664,0.81,137.25,137.61000061035156,-0.26,93.07693056,46.757368152
XRAY,-0.7622,-0.2941,0.36,-0.82,12.98,12.960000038146973,0.15,2.585312768,2.58930232
FANG,1.144,0.2664,0.3851,0.69,142.01,142.02999877929688,-0.01,41.115697152,41.10990913216
DKS,1.2001,0.3019,0.4532,0.67,211.05,211.2400054931641,-0.09,16.918823936,11.929031415
ECL,0.2999,0.0964,0.2466,0.39,272.59,272.8699951171875,-0.1,77.392748544,77.31333656928
EIX,0.132,0.0647,0.2577,0.25,53.67,53.77000045776367,-0.19,20.692523008,20.65403992128
EA,0.2333,0.0839,0.2473,0.34,167.26,167.63999938964844,-0.23,41.941200896,41.84962415808
ESI,0.0449,0.0648,0.3288,0.2,23.9,23.899999618530273,0.0,5.774646272,5.774646108799999
EME,4.1999,0.4674,0.3216,1.45,618.81,618.219970703125,0.1,27.67412224,27.700534602
EMR,0.3803,0.1162,0.2652,0.44,132.77,132.74000549316406,0.02,74.706075648,74.722956
EHC,0.9783,0.2062,0.263,0.78,117.15,117.58000183105467,-0.37,11.84312832,11.7998166
ENTG,-0.3448,0.0231,0.5091,0.05,73.09,73.13999938964844,-0.07,11.073395712,11.065826
ETR,0.9219,0.191,0.2309,0.83,90.46,90.47000122070312,-0.01,40.38662144,40.38215741632
EQT,1.9051,0.3675,0.4448,0.83,51.27,51.290000915527344,-0.04,32.0078848,31.995403620480005
EFX,-0.0499,0.0417,0.3306,0.13,239.89,239.80999755859375,0.03,29.543872512,29.55372833
EQIX,0.0316,0.0488,0.2867,0.17,776.13,776.2000122070312,-0.01,75.96204032,75.95518632
ELS,-0.1857,-0.0251,0.2312,-0.11,60.32,60.150001525878906,0.28,12.204073984,11.6894128
EQR,-0.1026,-0.0004,0.2319,-0.0,63.19,63.20000076293945,-0.02,24.873117696,24.13213360896
ESAB,1.2479,0.3078,0.3615,0.85,113.37,111.12999725341795,2.02,6.7454464,6.881411619
WTRG,-0.1097,-0.0038,0.2259,-0.02,38.77,38.779998779296875,-0.03,10.876587008,10.87378281984
ESS,-0.0683,0.013,0.2478,0.05,254.44,254.58999633789065,-0.06,17.58414848,16.38695376
EL,-0.7051,-0.2127,0.4296,-0.49,90.69,90.69000244140624,-0.0,32.62590976,21.2405049
HWM,4.5997,0.4855,0.3227,1.5,180.59,180.75,-0.09,72.865030144,72.80052722944001
HPQ,-0.0167,0.0562,0.3481,0.16,26.05,26.11000061035156,-0.23,24.524419072,24.4680622752
HUBB,1.1732,0.2385,0.2937,0.81,420.15,418.6499938964844,0.36,22.247061504,22.326771
HII,0.3986,0.1334,0.3054,0.44,264.94,264.69000244140625,0.09,10.386594816,10.396404564
