ticker,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,forecast_price_30d,current_price,forecast_change_%,current_market_cap_B,forecast_market_cap_B
FTI,4.0236,0.504,0.4414,1.14,34.96,34.95000076293945,0.03,14.36500992,14.36911936
TFX,-0.6644,-0.2195,0.3285,-0.67,118.25,118.41000366210938,-0.14,5.232869376,5.2257986
TER,-0.0788,0.0852,0.4581,0.19,107.58,107.47000122070312,0.1,17.099660288,17.11318092
TTEK,0.3343,0.1206,0.3103,0.39,36.91,36.869998931884766,0.11,9.688439808,9.69895113472
TXN,0.1192,0.076,0.3087,0.25,187.04,187.22000122070312,-0.1,170.208641024,170.04498896895998
TXRH,1.0551,0.2282,0.3056,0.75,175.02,172.83999633789062,1.26,11.485321216,11.611124334
TXT,0.0408,0.0488,0.2784,0.18,77.08,77.0199966430664,0.08,13.72534784,13.73604078336
TMO,-0.1411,-0.0022,0.2695,-0.01,460.71,460.7200012207031,-0.0,173.973405696,173.96962452
UI,0.5911,0.218,0.4502,0.48,467.48,469.2099914550781,-0.37,28.383076352,28.278426176
UDR,-0.1658,-0.0173,0.2381,-0.07,38.06,38.09000015258789,-0.08,14.373147648,12.611067124480002
UGI,-0.1064,0.0144,0.2937,0.05,35.15,35.11000061035156,0.11,7.545981952,7.5545786
UNP,0.0686,0.0434,0.2319,0.19,222.3,222.2400054931641,0.03,131.797213184,131.832792
UPS,-0.4751,-0.1206,0.2867,-0.42,86.55,86.66999816894531,-0.14,73.4588928,63.7045223424
URI,1.4446,0.2971,0.3805,0.78,859.02,858.969970703125,0.01,55.267160064,55.270377624
UNH,-0.3429,-0.0573,0.305,-0.19,250.81,250.88999938964844,-0.03,227.592339456,227.51977537408
UHS,0.1844,0.0943,0.3207,0.29,172.81,172.3000030517578,0.3,11.103081472,9.882952057
MTN,-0.4194,-0.0877,0.3136,-0.28,148.74,148.72000122070312,0.01,5.525304832,5.526047976
VLO,1.2657,0.2751,0.371,0.74,133.4,133.2899932861328,0.08,41.406803968,41.4409768
VMI,0.5526,0.1647,0.3302,0.5,368.08,368.2000122070313,-0.03,7.267716096,7.26534708
VTR,0.3973,0.1181,0.2605,0.45,68.54,68.56999969482422,-0.04,31.163076608,31.149442888320003
VRSN,0.2964,0.0971,0.2511,0.39,271.96,271.8900146484375,0.03,25.396865024,25.403402855999996
VRSK,0.429,0.1149,0.2236,0.51,265.02,265.0400085449219,-0.01,37.030068224,37.02727142016
VZ,-0.0042,0.0224,0.2163,0.1,43.12,43.150001525878906,-0.07,181.934211072,181.8077184
VRT,4.1145,0.6176,0.6324,0.98,139.92,139.92999267578125,-0.01,53.434646528,53.43083175935999
VFC,-0.8302,-0.2928,0.5538,-0.53,11.86,11.829999923706056,0.25,4.620999168,4.6327175251199995
VTRS,-0.2296,-0.0074,0.3375,-0.02,9.73,9.699999809265137,0.31,11.30893824,11.34391463296
VICI,0.3409,0.0975,0.2173,0.45,32.96,32.900001525878906,0.18,35.083575296,35.14755467264
V,0.4944,0.128,0.2318,0.55,336.65,336.7799987792969,-0.04,653.669761024,571.8606435455999
VST,10.9942,0.7429,0.4797,1.55,203.38,202.1199951171875,0.62,68.585783296,69.01334216
VNT,0.1963,0.0926,0.3076,0.3,40.56,40.54999923706055,0.02,5.9486848,5.950152
VMC,0.5389,0.1428,0.2619,0.55,286.34,286.5199890136719,-0.06,37.856165888,37.83238616
GWW,1.255,0.2362,0.2513,0.94,949.39,950.1300048828124,-0.08,45.446807552,45.411412358
WAB,1.1979,0.2327,0.2625,0.89,191.21,191.4199981689453,-0.11,32.723820544,32.68792160032
WBA,-0.7005,-0.2191,0.4127,-0.53,11.94,11.9399995803833,0.0,10.334797824,10.33479862656
WMT,1.1987,0.2212,0.2127,1.04,103.24,103.7300033569336,-0.47,827.809005568,823.89857071104
DIS,-0.3625,-0.067,0.3042,-0.22,112.05,112.43000030517578,-0.34,202.141270016,201.4580547072
WM,0.6671,0.1461,0.1868,0.78,234.65,235.08999633789065,-0.19,94.701305856,94.5240632544
WSO,0.6609,0.1729,0.3009,0.57,410.73,410.8299865722656,-0.02,16.778420224,14.328398196
WFRD,2.7671,0.4762,0.5322,0.89,55.42,55.439998626708984,-0.04,3.982532352,3.9810957
WEC,0.3131,0.0881,0.1978,0.45,110.35,110.3499984741211,0.0,35.51791104,35.517911334400004
WELL,1.2192,0.2298,0.2413,0.95,168.07,168.02999877929688,0.02,112.382828544,112.40958313088
WCC,0.777,0.2516,0.454,0.55,204.55,204.27999877929688,0.13,9.940815872,9.953955285
WST,-0.4336,-0.0475,0.4232,-0.11,240.95,240.97999572753903,-0.01,17.32822016,17.326062971200002
WDC,0.593,0.2108,0.4326,0.49,75.06,74.97000122070312,0.12,26.155384832,26.18678388096
WU,-0.519,-0.1431,0.2859,-0.5,8.04,8.039999961853027,0.0,2.596654848,2.59665474432
WLK,-0.0138,0.0574,0.3491,0.16,79.03,79.0,0.04,10.131434496,10.13528138
WHR,-0.5505,-0.1267,0.3848,-0.33,83.65,83.70999908447266,-0.07,4.678920192,4.67556656
WMB,1.8226,0.2903,0.2403,1.21,58.05,57.88999938964844,0.28,70.694109184,70.88950085759998
WSM,1.6439,0.3541,0.4712,0.75,199.79,199.4199981689453,0.19,24.52826112,24.57377042
WTW,0.5648,0.1373,0.2215,0.62,327.18,327.8500061035156,-0.2,31.981113344,31.91575464
WSC,-0.1295,0.0411,0.389,0.11,24.37,24.350000381469727,0.08,4.433526272,4.43716794496
WING,0.9661,0.2912,0.4948,0.59,316.3,315.3599853515625,0.3,8.806048768,8.83229794
WWD,1.1693,0.242,0.3057,0.79,248.35,248.4499969482422,-0.04,14.898601984,14.89260577
WH,0.2661,0.1029,0.2957,0.35,83.96,83.95999908447266,0.0,6.410866688,6.410866551999999
WYNN,0.1214,0.1206,0.43,0.28,106.42,106.41000366210938,0.01,11.064193024,11.06523234
