ticker,dcf_market_cap_B,ddm_market_cap_B,multiples_market_cap_B,median_market_cap_B,current_price,forecast_price_30d,forecast_change_%,current_market_cap_B,forecast_market_cap_B,sector,buy?
ROST,60.53,15.68,35.42,35.42,145.22000122070312,144.92,-0.21,47.497252864,47.39913047935999,Consumer Cyclical,No
RPM,17.12,5.3,6.94,6.94,119.6500015258789,119.59,-0.05,15.360188416,15.35248584,Basic Materials,No
RRX,28.54,1.67,7.51,7.51,139.0,138.31,-0.5,9.226013696,9.180215602,Industrials,No
RS,50.7,5.93,9.95,9.95,285.0299987792969,285.04,0.0,14.99072512,14.991251240000002,Basic Materials,No
RSG,150.99,26.07,38.84,38.84,235.2100067138672,234.92,-0.12,73.43632384,73.34578272,Industrials,No
RTX,313.84,110.53,103.26,110.53,154.86000061035156,155.09,0.15,207.286304768,207.59417356288,Industrials,No
RVTY,19.36,0.95,8.79,8.79,86.83999633789062,86.93,0.1,10.079778816,10.09022589,Healthcare,No
SBUX,143.64,97.38,43.52,97.38,92.12000274658205,91.95,-0.18,104.7128064,104.51956794240002,Consumer Cyclical,No
SGI,11.42,3.12,1.89,3.12,74.94999694824219,74.87,-0.11,15.633444864,15.61675835104,Consumer Cyclical,No
SJM,51.44,30.48,16.41,30.48,110.72000122070312,110.64,-0.07,11.812052992,11.80351776,Consumer Defensive,Yes
SNA,18.5,12.33,13.83,13.83,321.79998779296875,321.57,-0.07,16.78618112,16.774184538,Industrials,No
SNX,16.34,5.06,21.35,16.34,146.57000732421875,147.08,0.35,12.08720384,12.129261656320002,Technology,Yes
SO,842.75,114.92,50.72,114.92,94.69000244140624,94.7,0.01,104.163745792,104.1747395456,Utilities,Yes
SPB,53.39,1.12,2.3,2.3,56.33000183105469,56.38,0.09,1.363580416,1.36479066,Consumer Defensive,Yes
SPGI,69.64,25.11,61.08,61.08,556.8699951171875,557.46,0.11,170.012409856,170.192538,Financial Services,No
SSNC,27.57,8.15,22.38,22.38,86.80000305175781,86.79,-0.01,21.198383104,21.19593989568,Technology,Yes
STAG,13.17,5.16,2.93,5.16,34.630001068115234,34.63,-0.0,6.603802624,6.46531683296,Real Estate,No
STLD,76.15,4.49,12.41,12.41,123.0199966430664,123.04,0.02,18.262810624,18.26578016,Basic Materials,No
STZ,105.97,21.93,31.04,31.04,170.60000610351562,170.75,0.09,30.080362496,30.0974195,Consumer Defensive,Yes
SWK,41.36,9.33,7.83,9.33,69.31999969482422,69.17,-0.22,10.730181632,10.70696264,Industrials,No
SWKS,13.99,17.19,12.94,13.99,71.08000183105469,70.81,-0.38,10.550262784,10.51018668,Technology,Yes
SYY,76.72,25.17,36.74,36.74,80.6500015258789,80.67,0.02,38.510051328,38.51960232,Consumer Defensive,No
T,1924.96,381.3,425.07,425.07,28.079999923706055,28.07,-0.04,200.782938112,200.7114405632,Communication Services,Yes
TER,12.43,1.5,10.21,10.21,107.47000122070312,107.58,0.1,17.099660288,17.11318092,Technology,No
TFX,19.59,1.44,10.33,10.33,118.41000366210938,118.25,-0.14,5.232869376,5.2257986,Healthcare,Yes
TGT,157.05,35.25,83.79,83.79,105.4000015258789,105.06,-0.32,47.890178048,47.73569364096,Consumer Defensive,Yes
TMO,340.33,24.44,115.04,115.04,460.7200012207031,460.71,-0.0,173.973405696,173.96962452,Healthcare,No
TMUS,1020.94,194.15,298.85,298.85,244.97999572753903,244.58,-0.16,275.705397248,275.25523142656,Communication Services,Yes
TPR,-55.68,5.55,15.46,5.55,109.08999633789062,109.36,0.25,22.65690112,22.7129784,Consumer Cyclical,No
TRGP,108.2,13.39,12.46,13.39,165.08999633789062,165.16,0.04,35.526045696,35.54111072,Energy,No
TTEK,5.25,1.54,5.71,5.25,36.869998931884766,36.91,0.11,9.688439808,9.69895113472,Industrials,No
TXN,163.91,251.33,102.45,163.91,187.22000122070312,187.04,-0.1,170.208641024,170.04498896895998,Technology,No
TXRH,15.04,7.95,7.85,7.95,172.83999633789062,175.02,1.26,11.485321216,11.611124334,Consumer Cyclical,No
TXT,35.8,0.26,12.5,12.5,77.0199966430664,77.08,0.08,13.72534784,13.73604078336,Industrials,No
UDR,22.91,11.24,4.33,11.24,38.09000015258789,38.06,-0.08,14.373147648,12.611067124480002,Real Estate,No
UGI,52.91,5.24,7.87,7.87,35.11000061035156,35.15,0.11,7.545981952,7.5545786,Utilities,Yes
UHS,64.66,0.93,27.2,27.2,172.3000030517578,172.81,0.3,11.103081472,9.882952057,Healthcare,Yes
UI,7.09,4.19,10.65,7.09,469.2099914550781,467.48,-0.37,28.383076352,28.278426176,Technology,No
UNH,761.51,641.77,399.4,641.77,250.88999938964844,250.81,-0.03,227.592339456,227.51977537408,Healthcare,Yes
UNP,235.26,64.73,92.02,92.02,222.2400054931641,222.3,0.03,131.797213184,131.832792,Industrials,No
UPS,224.02,91.88,93.5,93.5,86.66999816894531,86.55,-0.14,73.4588928,63.7045223424,Industrials,Yes
URI,116.56,5.65,31.66,31.66,858.969970703125,859.02,0.01,55.267160064,55.270377624,Industrials,No
V,438.6,113.4,260.96,260.96,336.7799987792969,336.65,-0.04,653.669761024,571.8606435455999,Financial Services,No
VFC,6.2,2.33,4.22,4.22,11.829999923706056,11.86,0.25,4.620999168,4.6327175251199995,Consumer Cyclical,No
VICI,59.33,41.28,19.48,41.28,32.900001525878906,32.96,0.18,35.083575296,35.14755467264,Real Estate,Yes
VLO,140.18,24.07,26.73,26.73,133.2899932861328,133.4,0.08,41.406803968,41.4409768,Energy,No
VMC,58.68,6.42,13.82,13.82,286.5199890136719,286.34,-0.06,37.856165888,37.83238616,Basic Materials,No
VMI,12.48,0.99,5.36,5.36,368.2000122070313,368.08,-0.03,7.267716096,7.26534708,Industrials,No
VNT,9.77,0.44,8.53,8.53,40.54999923706055,40.56,0.02,5.9486848,5.950152,Technology,Yes
VRSK,31.46,6.23,11.82,11.82,265.0400085449219,265.02,-0.01,37.030068224,37.02727142016,Industrials,No
VRSN,33.72,33.12,15.38,33.12,271.8900146484375,271.96,0.03,25.396865024,25.403402855999996,Technology,Yes
VRT,11.41,0.68,17.48,11.41,139.92999267578125,139.92,-0.01,53.434646528,53.43083175935999,Industrials,No
VST,141.81,4.19,42.47,42.47,202.1199951171875,203.38,0.62,68.585783296,69.01334216,Utilities,No
VTR,48.58,16.38,7.92,16.38,68.56999969482422,68.54,-0.04,31.163076608,31.149442888320003,Real Estate,No
VTRS,277.14,16.76,40.75,40.75,9.699999809265137,9.73,0.31,11.30893824,11.34391463296,Healthcare,Yes
VZ,3594.64,1279.6,462.67,1279.6,43.150001525878906,43.12,-0.07,181.934211072,181.8077184,Communication Services,Yes
WAB,24.75,3.22,18.72,18.72,191.4199981689453,191.21,-0.11,32.723820544,32.68792160032,Industrials,No
WBA,117.81,31.49,11.12,31.49,11.9399995803833,11.94,0.0,10.334797824,10.33479862656,Healthcare,Yes
WCC,22.88,1.02,8.34,8.34,204.27999877929688,204.55,0.13,9.940815872,9.953955285,Industrials,No
WDC,21.58,2.94,38.48,21.58,74.97000122070312,75.06,0.12,26.155384832,26.18678388096,Technology,No
WEC,197.17,37.59,12.49,37.59,110.3499984741211,110.35,0.0,35.51791104,35.517911334400004,Utilities,Yes
WELL,16.07,36.46,22.5,22.5,168.02999877929688,168.07,0.02,112.382828544,112.40958313088,Real Estate,No
WFRD,13.37,0.74,6.22,6.22,55.439998626708984,55.42,-0.04,3.982532352,3.9810957,Energy,Yes
WH,8.03,4.42,4.82,4.82,83.95999908447266,83.96,0.0,6.410866688,6.410866551999999,Consumer Cyclical,No
WHR,82.61,11.37,7.46,11.37,83.70999908447266,83.65,-0.07,4.678920192,4.67556656,Consumer Cyclical,Yes
WING,-0.39,0.52,1.35,0.52,315.3599853515625,316.3,0.3,8.806048768,8.83229794,Consumer Cyclical,No
WLK,57.21,6.09,7.94,7.94,79.0,79.03,0.04,10.131434496,10.13528138,Basic Materials,No
WM,215.97,42.01,47.29,47.29,235.08999633789065,234.65,-0.19,94.701305856,94.5240632544,Industrials,No
WMB,207.61,55.99,11.51,55.99,57.88999938964844,58.05,0.28,70.694109184,70.88950085759998,Energy,No
WMS,12.06,0.93,7.61,7.61,131.41000366210938,131.74,0.25,10.217469952,10.243127524,Industrials,No
WMT,1360.93,230.33,419.5,419.5,103.7300033569336,103.24,-0.47,827.809005568,823.89857071104,Consumer Defensive,No
WSC,21.38,0.89,2.94,2.94,24.350000381469727,24.37,0.08,4.433526272,4.43716794496,Industrials,No
WSM,20.37,6.53,19.32,19.32,199.4199981689453,199.79,0.19,24.52826112,24.57377042,Consumer Cyclical,No
WSO,3.67,9.17,7.74,7.74,410.8299865722656,410.73,-0.02,16.778420224,14.328398196,Industrials,No
WST,21.77,1.57,10.7,10.7,240.97999572753903,240.95,-0.01,17.32822016,17.326062971200002,Healthcare,No
WTRG,68.72,8.15,3.85,8.15,38.779998779296875,38.77,-0.03,10.876587008,10.87378281984,Utilities,No
WTW,-20.1,15.33,21.48,15.33,327.8500061035156,327.18,-0.2,31.981113344,31.91575464,Financial Services,No
WU,-0.48,14.15,7.13,7.13,8.039999961853027,8.04,0.0,2.596654848,2.59665474432,Financial Services,Yes
WWD,8.15,1.09,5.03,5.03,248.4499969482422,248.35,-0.04,14.898601984,14.89260577,Industrials,No
WYNN,68.06,2.22,10.27,10.27,106.41000366210938,106.42,0.01,11.064193024,11.06523234,Consumer Cyclical,No
XRAY,36.48,3.54,6.18,6.18,12.960000038146973,12.98,0.15,2.585312768,2.58930232,Healthcare,Yes
