ticker,dcf_market_cap_B,ddm_market_cap_B,multiples_market_cap_B,median_market_cap_B,current_price,forecast_price_30d,forecast_change_%,current_market_cap_B,forecast_market_cap_B,sector,buy?
CCI,112.93,34.18,10.64,34.18,104.5,104.51,0.01,45.506617344,45.51097137216,Real Estate,No
CCK,45.14,7.34,18.89,18.89,101.4800033569336,101.28,-0.2,11.809837056,11.78656128,Consumer Cyclical,Yes
CDW,19.75,20.48,23.74,20.48,162.9199981689453,163.39,0.29,21.35245824,21.41405679,Technology,No
CE,86.45,0.25,3.03,3.03,48.04999923706055,47.98,-0.15,5.25700608,5.24934786,Basic Materials,No
CEG,96.8,7.46,50.86,50.86,335.7650146484375,334.52,-0.37,104.895012864,104.50606047232,Utilities,No
CF,59.55,7.28,22.72,22.72,80.91000366210938,81.68,0.95,13.105234944,13.229953986560002,Basic Materials,Yes
CHE,13.72,2.61,5.88,5.88,435.3299865722656,434.09,-0.28,6.343497728,6.325429253,Healthcare,No
CHH,0.95,1.98,4.32,1.98,120.75,121.25,0.41,5.586909184,5.6100435,Consumer Cyclical,No
CL,183.42,92.29,46.68,92.29,84.69000244140625,84.62,-0.08,68.448239616,68.39166034304,Consumer Defensive,Yes
CMCSA,1323.37,140.79,393.54,393.54,31.670000076293945,31.76,0.28,116.932288512,116.96445556736,Communication Services,Yes
CMI,57.58,22.77,47.04,47.04,387.0299987792969,386.24,-0.2,53.327314944,53.21846464,Industrials,No
CNP,190.5,15.0,8.85,15.0,38.83000183105469,38.83,-0.0,25.350750208,25.35074888192,Utilities,No
COLD,24.27,5.24,1.5,5.24,14.529999732971191,14.48,-0.34,4.151700224,4.12387527168,Real Estate,Yes
COP,598.33,90.2,145.25,145.25,93.91000366210938,93.92,0.01,117.287960576,117.30044780544,Energy,Yes
COR,101.61,22.63,52.85,52.85,285.1300048828125,285.48,0.12,55.2804352,55.34829144,Healthcare,No
COST,301.24,50.28,145.84,145.84,980.97998046875,982.5,0.15,435.04205824,435.71614464,Consumer Defensive,No
CR,1.63,0.82,4.55,1.63,193.9600067138672,194.05,0.05,11.161778176,11.16695654,Industrials,No
CRH,181.68,17.43,46.8,46.8,109.3000030517578,108.76,-0.49,73.4783488,73.11532126976002,Basic Materials,No
